Vendor,Software,Key,Value,URL,Additional Details,
Generic,Generic,DO_NOT_TRACK,1,,This variable is intended to be used by any software using telemetry.,
Amazon,Serverless Application Model (SAM),SAM_CLI_TELEMETRY,FALSE,,,
Broadcom,DX App Experience Analytics,UPLOAD_ENABLED,FALSE,,Is this right? Too generic. Use with caution.,
Contrast Security,Contrast,CONTRAST_DOTNET_TELEMETRY_OPTOUT,1,,,
Facebook,Buck/Buckaroo,BUCKAROO_TELEMETRY_OPT_OUT,1,,,
Gatsby,Gatsbyjs,GATSBY_TELEMETRY_DISABLED,1,https://www.gatsbyjs.com,,
Grouparoo,Grouparoo,GROUPAROO_TELEMETRY_ENABLED,FALSE,grouparoo.com,"""Grouparoo is real-time data infrastructure that puts marketers and operators in control.""",
JSDefender,JSDefender,JSDEFENDER_TELEMETRY_OPT_OUT,1,,,
Microsoft,.Net Core,DOTNET_CLI_TELEMETRY_OPTOUT,1,,,
Microsoft,Coyote,COYOTE_CLI_TELEMETRY_OPTOUT,1,,,
Microsoft,Vcokg,VCPKG_DISABLE_METRICS,1,,,
Next.js,Next.js,NEXT_TELEMETRY_DEBUG,1,Nextjs.org,,
Nuxt.js,Nuxt.js,NUXT_TELEMETRY_DISABLED,1,nuxtjs.org,,
Prisma,Prisma 2,CHECKPOINT_DISABLE,1,prisma.io,Too generic. Use with caution.,
Rasa,Rasa,RASA_TELEMETRY_ENABLED,FALSE,rasa.com,,
Stripe,Stripe CLI Tools,STRIPE_CLI_TELEMETRY_OPTOUT,1,Stripe.com,,
Uno Platform,Uno Platform SDK,UNO_PLATFORM_TELEMETRY_OPTOUT,1,platform.uno,,
